"ca","k","MAP","c","h3","d","pkx","optwL","P50","pxmin","pxgs50","slope"
400,0.05,1825,2.64,25,1,0.5,0.261192313,-0.870375412543876,-0.565419214053946,-0.565419213692484,0.242216347380387
400,0.05,1825,2.64,25,2,0.5,0.21657038,-1.74075082508775,-1.28449730987731,-1.28449730017958,0.402097486114532
400,0.05,1825,2.64,25,3,0.5,0.19374321,-2.61112623763163,-2.09220891290175,-2.09220888196387,0.493683121235947
400,0.05,1825,2.64,25,4,0.5,0.178967148,-3.4815016501755,-2.96148781720965,-2.96148777051534,0.552872634173374
400,0.05,1825,2.64,25,5,0.5,0.16825548,-4.35187706271938,-3.88071634959971,-3.63827705666641,0.595205822305775
400,0.05,1825,2.64,25,6,0.5,0.160027101,-5.22225247526326,-4.83380782062093,-4.23036653568619,0.626633981079991
400,0.05,1825,2.64,25,7,0.5,0.153353057,-6.09262788780713,-5.82537916799151,-4.79815658530735,0.651959815786385
400,0.05,1825,2.64,25,8,0.5,0.14774683,-6.96300330035101,-6.85752634611197,-5.34641868372798,0.673339262901272
400,0.05,1825,2.64,25,9,0.5,0.143022747,-7.83337871289488,-7.90647082060109,-5.87929700432467,0.69062781003563
400,0.05,1825,2.64,25,10,0.5,0.138945576,-8.70375412543876,-8.97422984773388,-6.39872585105934,0.705173459309321
400,0.05,1825,2.64,100,1,0.5,0.290431092,-0.870375412543876,-0.355245236070173,-0.355245238425433,0.287194490578301
400,0.05,1825,2.64,100,2,0.5,0.239708751,-1.74075082508775,-0.823458353392791,-0.82345835392756,0.435035034316058
400,0.05,1825,2.64,100,3,0.5,0.214838716,-2.61112623763163,-1.33046702541952,-1.33046702061349,0.514441520070069
400,0.05,1825,2.64,100,4,0.5,0.198913442,-3.4815016501755,-1.86426728349571,-1.79033232992663,0.565959738763093
400,0.05,1825,2.64,100,5,0.5,0.187505532,-4.35187706271938,-2.41465661964163,-2.20285433477108,0.601864344812444
400,0.05,1825,2.64,100,6,0.5,0.178741634,-5.22225247526326,-2.97788830672049,-2.5948630529088,0.628784449776081
400,0.05,1825,2.64,100,7,0.5,0.171684362,-6.09262788780713,-3.55251924292898,-2.96993775008486,0.650147345213099
400,0.05,1825,2.64,100,8,0.5,0.165826204,-6.96300330035101,-4.13595913347237,-3.33080002425883,0.667549546330877
400,0.05,1825,2.64,100,9,0.5,0.160795581,-7.83337871289488,-4.73343566394612,-3.67967495582572,0.682889861583391
400,0.05,1825,2.64,100,10,0.5,0.156486806,-8.70375412543876,-5.33144135369857,-4.01795423555705,0.695254638106119
400,0.025,1825,2.64,25,1,0.5,0.263535255,-0.870375412543876,-0.543730224696686,-0.543730222025352,0.205008914625872
400,0.025,1825,2.64,25,2,0.5,0.218616351,-1.74075082508775,-1.23267080223206,-1.23267078788474,0.371914675509892
400,0.025,1825,2.64,25,3,0.5,0.195575156,-2.61112623763163,-2.00771996751019,-2.00771993340889,0.468047852824696
400,0.025,1825,2.64,25,4,0.5,0.180621789,-3.4815016501755,-2.84448641549441,-2.84448640521092,0.530558509888543
400,0.025,1825,2.64,25,5,0.5,0.169773389,-4.35187706271938,-3.73102491206052,-3.65232742568551,0.575265267110079
