"h3","pkx","ps","g1"
100,0.5,-1.95765703678765,0.76048276662356
100,0.5,-1.93567864311588,0.823162702570478
100,0.5,-1.91370024944411,0.886071753624371
100,0.5,-1.89172185577234,0.94919090140183
100,0.5,-1.86974346210057,0.976178124149422
100,0.5,-1.8477650684288,0.988604208683613
100,0.5,-1.82578667475702,1.00119251304031
100,0.5,-1.80380828108525,1.01394507671489
100,0.5,-1.78182988741348,1.02686367053045
100,0.5,-1.75985149374171,1.03995049776108
100,0.5,-1.73787310006994,1.05320745668244
100,0.5,-1.71589470639817,1.06663658747687
100,0.5,-1.6939163127264,1.08024005778674
100,0.5,-1.67193791905463,1.09401982572761
100,0.5,-1.64995952538285,1.10797808386972
100,0.5,-1.62798113171108,1.12211699424767
100,0.5,-1.60600273803931,1.13643862880829
100,0.5,-1.58402434436754,1.15094539895584
100,0.5,-1.56204595069577,1.16563931155913
100,0.5,-1.540067557024,1.18052269435401
100,0.5,-1.51808916335223,1.19559789523184
100,0.5,-1.49611076968045,1.21086702652022
100,0.5,-1.47413237600868,1.226332559503
100,0.5,-1.45215398233691,1.24199690309197
100,0.5,-1.43017558866514,1.25786214231338
100,0.5,-1.40819719499337,1.27393094388356
100,0.5,-1.3862188013216,1.29020561362172
100,0.5,-1.36424040764983,1.30668853741663
100,0.5,-1.34226201397805,1.3233821967192
100,0.5,-1.32028362030628,1.34028920313964
100,0.5,-1.29830522663451,1.35741174407362
100,0.5,-1.27632683296274,1.37475268356544
100,0.5,-1.25434843929097,1.3923142211195
100,0.5,-1.2323700456192,1.41009917332652
100,0.5,-1.21039165194743,1.42810985481926
100,0.5,-1.18841325827565,1.44634899050971
100,0.5,-1.16643486460388,1.4648189959366
100,0.5,-1.14445647093211,1.48352283580205
100,0.5,-1.12247807726034,1.50246270009056
100,0.5,-1.10049968358857,1.5216415164348
100,0.5,-1.0785212899168,1.54106167546668
100,0.5,-1.05654289624503,1.56072595514794
100,0.5,-1.03456450257326,1.58063695876165
100,0.5,-1.01258610890148,1.60079737121823
100,0.5,-0.990607715229712,1.62120976384002
100,0.5,-0.968629321557941,1.64187678313601
100,0.5,-0.94665092788617,1.66280116299108
100,0.5,-0.924672534214398,1.68398551223813
100,0.5,-0.902694140542627,1.70543247721779
100,0.5,-0.880715746870856,1.72714473439491
100,0.5,-0.858737353199084,1.74912476333308
100,0.5,-0.836758959527313,1.77137555658237
100,0.5,-0.814780565855541,1.79389925833923
100,0.5,-0.79280217218377,1.81669873617491
100,0.5,-0.770823778511998,1.83977665459499
100,0.5,-0.748845384840227,1.86313533377107
100,0.5,-0.726866991168456,1.88677758599858
100,0.5,-0.704888597496684,1.9107057633081
100,0.5,-0.682910203824913,1.9349225796023
100,0.5,-0.660931810153142,1.95943022049697
100,0.5,-0.63895341648137,1.98423146203812
100,0.5,-0.616975022809599,2.00932847745514
100,0.5,-0.594996629137827,2.03472391046388
100,0.5,-0.573018235466056,2.06042009369121
100,0.5,-0.551039841794285,2.08641908099712
100,0.5,-0.529061448122513,2.11272348665899
100,0.5,-0.507083054450742,2.13933521433473
100,0.5,-0.485104660778971,2.16625700367191
100,0.5,-0.463126267107199,2.19349070024572
100,0.5,-0.441147873435428,2.22103827725209
100,0.5,-0.419169479763656,2.24890214362203
100,0.5,-0.397191086091885,2.27708397524343
100,0.5,-0.375212692420114,2.30558603489006
100,0.5,-0.353234298748342,2.33441005605012
100,0.5,-0.331255905076571,2.36355792887963
100,0.5,-0.3092775114048,2.3930313039777
100,0.5,-0.287299117733028,2.42283230811969
100,0.5,-0.265320724061257,2.45296219294962
100,0.5,-0.243342330389485,2.48342275481914
100,0.5,-0.221363936717714,2.51421529554261
100,0.5,-0.199385543045943,2.54534138450494
100,0.5,-0.177407149374171,2.57680265445437
100,0.5,-0.1554287557024,2.60859997605789
100,0.5,-0.133450362030628,2.64073480793637
100,0.5,-0.111471968358857,2.67320824317693
100,0.5,-0.0894935746870855,2.70602147389879
100,0.5,-0.0675151810153145,2.73917503380808
100,0.5,-0.0455367873435431,2.7726703625101
100,0.5,-0.0235583936717716,2.80650793613532
100,0.5,-0.00158000000000014,2.84068863002509
25,0.25,-4.0902015705161,-0.264226400005594
25,0.25,-4.04931535481094,-0.205461930206447
25,0.25,-4.00842913910578,-0.144970817586056
25,0.25,-3.96754292340061,-0.0829429505685563
25,0.25,-3.92665670769545,-0.0195520658050631
25,0.25,-3.88577049199029,0.0450457635741923
25,0.25,-3.84488427628513,0.110711472740622
25,0.25,-3.80399806057997,0.177322241041281
25,0.25,-3.76311184487481,0.244769803186662
25,0.25,-3.72222562916965,0.312959554944535
25,0.25,-3.68133941346449,0.381808671520055
25,0.25,-3.64045319775933,0.451244758249682
25,0.25,-3.59956698205417,0.521204541662405
25,0.25,-3.558680766349,0.591632782166785
25,0.25,-3.51779455064384,0.662480813206956
25,0.25,-3.47690833493868,0.733706226114205
25,0.25,-3.43602211923352,0.805271663778579
25,0.25,-3.39513590352836,0.877144230433703
25,0.25,-3.3542496878232,0.949294894708082
25,0.25,-3.31336347211804,1.02169796969104
25,0.25,-3.27247725641288,1.09433068276551
25,0.25,-3.23159104070772,1.16717279395669
25,0.25,-3.19070482500256,1.24020637222879
25,0.25,-3.1498186092974,1.31341511328914
25,0.25,-3.10893239359223,1.38678470486469
25,0.25,-3.06804617788707,1.46030219472525
25,0.25,-3.02715996218191,1.53395601685224
25,0.25,-2.98627374647675,1.60773562326108
25,0.25,-2.94538753077159,1.68163158531368
25,0.25,-2.90450131506643,1.7556353391682
25,0.25,-2.86361509936127,1.82973915636409
25,0.25,-2.82272888365611,1.90393590761533
25,0.25,-2.78184266795095,1.97821920517466
25,0.25,-2.74095645224579,2.05258319322314
25,0.25,-2.70007023654062,2.12702251814303
25,0.25,-2.65918402083546,2.20153228039155
25,0.25,-2.6182978051303,2.27610803167482
25,0.25,-2.57741158942514,2.35074565810084
25,0.25,-2.53652537371998,2.41706833504926
25,0.25,-2.49563915801482,2.42648286539298
25,0.25,-2.45475294230966,2.43662441775618
25,0.25,-2.4138667266045,2.44747406666714
25,0.25,-2.37298051089934,2.45901427603134
25,0.25,-2.33209429519418,2.47122933443573
25,0.25,-2.29120807948901,2.48410456558339
